unique_id,ds,y,is_anomaly
ID0,1985-06-30,2.25,0
ID0,1985-09-30,1.02,0
ID1,1989-06-30,99.0,0
ID1,1989-09-30,99.0,0
ID10,1989-12-31,121.0,0
ID10,1990-03-31,154.0,0
ID100,1982-03-31,239.3,0
ID100,1982-06-30,424.0,0
ID101,1995-06-30,145.6,1
ID101,1995-09-30,150.5,1
ID102,1986-06-30,15468.0,0
ID102,1986-09-30,16516.0,0
ID103,1980-06-30,181.0,0
ID103,1980-09-30,204.0,0
ID104,1986-06-30,492.0,0
ID104,1986-09-30,546.0,0
ID105,1986-06-30,179.0,0
ID105,1986-09-30,189.0,0
ID106,1982-06-30,160.7,0
ID106,1982-09-30,111.8,0
ID107,1986-06-30,133.0,0
ID107,1986-09-30,138.0,0
ID108,1987-06-30,4206.0,0
ID108,1987-09-30,4778.0,0
ID109,1987-06-30,13280.0,0
ID109,1987-09-30,3584.0,1
ID11,1982-06-30,211.0,0
ID11,1982-09-30,288.0,0
ID110,1987-03-31,130.0,0
ID110,1987-06-30,104.0,0
ID111,1987-03-31,3365.0,0
ID111,1987-06-30,2990.0,0
ID112,1986-06-30,468.0,0
ID112,1986-09-30,476.0,0
ID113,1985-06-30,253.7,0
ID113,1985-09-30,262.4,0
ID114,1986-12-31,11204.0,0
ID114,1987-03-31,10265.0,0
ID115,1986-06-30,155.0,0
ID115,1986-09-30,159.0,0
ID116,1989-06-30,658.8,0
ID116,1989-09-30,668.3,0
ID117,1989-06-30,411.7,0
ID117,1989-09-30,424.3,0
ID118,1989-06-30,193.2,0
ID118,1989-09-30,194.2,0
ID119,1989-06-30,119.0,0
ID119,1989-09-30,120.0,0
ID12,1992-06-30,428.0,0
ID12,1992-09-30,436.0,0
ID120,1994-06-30,259.3,0
ID120,1994-09-30,266.2,0
ID121,1978-06-30,17.22,0
ID121,1978-09-30,17.42,0
ID122,1978-06-30,800.9,0
ID122,1978-09-30,815.9,0
ID123,1978-06-30,140.7,0
ID123,1978-09-30,142.2,0
ID124,1978-06-30,46.2,0
ID124,1978-09-30,48.9,0
ID125,1978-06-30,16.2,0
ID125,1978-09-30,18.12,0
ID126,1986-06-30,125.0,1
ID126,1986-09-30,119.0,0
ID127,1988-06-30,1066.0,0
ID127,1988-09-30,1090.0,0
ID128,1988-06-30,6255.0,0
ID128,1988-09-30,6421.0,0
ID129,1988-06-30,219.1,1
ID129,1988-09-30,231.8,1
ID13,1986-03-31,27657.0,0
ID13,1986-06-30,24207.0,0
ID130,1988-06-30,118.8,0
ID130,1988-09-30,124.3,1
ID131,1988-06-30,12715.0,0
ID131,1988-09-30,12840.0,0
ID132,1978-06-30,34808.0,0
ID132,1978-09-30,34500.0,0
ID133,1978-06-30,22288.0,0
ID133,1978-09-30,22464.0,0
ID134,1991-06-30,2018.0,1
ID134,1991-09-30,1387.0,0
ID135,1978-06-30,337.0,0
ID135,1978-09-30,375.0,0
ID136,1978-06-30,127.6,0
ID136,1978-09-30,134.0,0
ID137,1988-06-30,106.77,0
ID137,1988-09-30,107.09,0
ID138,1988-06-30,32.24,0
ID138,1988-09-30,35.34,0
ID139,1993-06-30,58.3,0
ID139,1993-09-30,54.0,0
ID14,1986-06-30,131788.0,0
ID14,1986-09-30,116357.0,0
ID140,1989-06-30,86.0,0
ID140,1989-09-30,116.0,0
ID141,1989-06-30,104.0,0
ID141,1989-09-30,121.0,0
ID142,1989-06-30,104.0,0
ID142,1989-09-30,106.0,0
ID143,1989-06-30,119.0,0
ID143,1989-09-30,121.0,0
ID144,1989-06-30,114.0,0
ID144,1989-09-30,118.0,0
ID145,1988-06-30,310.6,0
ID145,1988-09-30,308.0,0
ID146,1978-06-30,127.7,0
ID146,1978-09-30,134.0,0
ID147,1978-06-30,123.4,0
ID147,1978-09-30,127.0,0
ID148,1978-06-30,125.6,0
ID148,1978-09-30,129.3,0
ID149,1978-06-30,142.3,0
ID149,1978-09-30,145.4,0
ID15,1986-06-30,37522.0,0
ID15,1986-09-30,25991.0,0
ID150,1978-06-30,118.0,0
ID150,1978-09-30,122.0,0
ID151,1978-06-30,126.1,0
ID151,1978-09-30,130.2,0
ID152,1978-06-30,2.1,0
ID152,1978-09-30,2.38,0
ID153,1978-06-30,4.89,0
ID153,1978-09-30,4.44,1
ID154,1989-06-30,107.0,0
ID154,1989-09-30,122.0,0
ID155,1989-06-30,114.9,0
ID155,1989-09-30,131.0,0
ID156,1986-06-30,125.0,1
ID156,1986-09-30,119.0,0
ID157,1988-06-30,654.0,0
ID157,1988-09-30,685.0,0
