unique_id,ds,RWD,SeasonalNaive,AutoETS,AutoARIMA,AutoTheta,SESOpt,CrostonOptimized,WindowAverage,y
Q1,1993-03-31,5579.2334,5551.25,5511.547,5511.55,5485.1904,5511.2617,5546.2456,5569.1064,5531.5
Q1,1993-06-30,5646.9165,5592.15,5511.547,5511.55,5520.0815,5511.2617,5546.2456,5569.1064,5670.6
Q1,1993-09-30,5714.6,5481.6,5511.547,5511.55,5519.016,5511.2617,5546.2456,5569.1064,5730.0
Q1,1993-12-31,5782.2837,5511.55,5511.547,5511.55,5782.27,5511.2617,5546.2456,5569.1064,5798.45
Q1,1994-03-31,5849.967,5551.25,5511.547,5511.55,5748.973,5511.2617,5546.2456,5569.1064,5809.05
Q1,1994-06-30,5917.6504,5592.15,5511.547,5511.55,5782.3887,5511.2617,5546.2456,5569.1064,5707.05
Q1,1994-09-30,5985.334,5481.6,5511.547,5511.55,5778.1934,5511.2617,5546.2456,5569.1064,5661.75
Q1,1994-12-31,6053.017,5511.55,5511.547,5511.55,6050.659,5511.2617,5546.2456,5569.1064,6176.6
Q10,1993-03-31,6945.3984,6707.04,6799.285,6788.552,6804.0923,6822.116,6747.7075,6724.9624,6729.34
Q10,1993-06-30,7070.2964,6731.2,6734.823,6796.2256,6740.941,6822.116,6747.7075,6724.9624,6675.46
Q10,1993-09-30,7195.195,6984.68,7237.542,6876.7417,7201.9614,6822.116,6747.7075,6724.9624,7142.94
Q10,1993-12-31,7320.0933,6820.5,7316.875,6824.5913,7322.4214,6822.116,6747.7075,6724.9624,7308.06
Q10,1994-03-31,7444.991,6707.04,7283.838,6814.443,7292.7993,6822.116,6747.7075,6724.9624,7525.5
Q10,1994-06-30,7569.8896,6731.2,7206.381,6816.881,7216.572,6822.116,6747.7075,6724.9624,7893.78
Q10,1994-09-30,7694.788,6984.68,7735.581,6842.456,7701.313,6822.116,6747.7075,6724.9624,8223.88
Q10,1994-12-31,7819.6865,6820.5,7811.8574,6825.8906,7821.474,6822.116,6747.7075,6724.9624,8904.28
Q100,1993-03-31,4011.0286,3388.0,3660.3623,3723.1257,3690.0679,3920.07,3700.1667,3556.0,3768.0
Q100,1993-06-30,4048.0571,3734.0,3815.4846,3972.9558,3851.793,3920.07,3700.1667,3556.0,4208.0
