unique_id,ds,RWD,SeasonalNaive,AutoETS,AutoARIMA,AutoTheta,SESOpt,CrostonOptimized,WindowAverage,y
m1,2022-12-01,6295.1416,6611.115,6599.496,6702.1177,6763.527,6237.6626,3300.1162,3233.051,6857.8
m1,2023-01-01,6324.5435,4150.2393,4171.3223,4186.2754,4138.3496,6237.6626,3300.1162,3233.051,4346.09
m1,2023-02-01,6353.945,2841.0,2950.6624,2883.986,2774.5945,6237.6626,3300.1162,3233.051,3154.73
m1,2023-03-01,6383.3467,1813.44,1922.0803,1850.7739,1772.9717,6237.6626,3300.1162,3233.051,2142.21
m1,2023-04-01,6412.748,2261.08,2340.6284,2287.322,2088.7568,6237.6626,3300.1162,3233.051,2375.725
m1,2023-05-01,6442.1494,1873.605,1896.8784,1854.0472,1723.2734,6237.6626,3300.1162,3233.051,1981.11
m1,2023-06-01,6471.5513,1772.84,1783.2505,1755.1937,1576.6409,6237.6626,3300.1162,3233.051,1959.865
m1,2023-07-01,6500.9526,2049.565,2124.6724,2031.9087,1994.8936,6237.6626,3300.1162,3233.051,2466.31
m1,2023-08-01,6530.354,2932.265,2807.9744,2904.5186,2506.1592,6237.6626,3300.1162,3233.051,2851.715
m1,2023-09-01,6559.756,3113.255,3102.282,3103.8538,3004.3994,6237.6626,3300.1162,3233.051,3671.805
m1,2023-10-01,6589.157,3461.505,3512.126,3446.2705,3723.9575,6237.6626,3300.1162,3233.051,3806.78
m1,2023-11-01,6618.559,6265.74,6208.467,6193.078,6684.3765,6237.6626,3300.1162,3233.051,6995.05
m10,2022-12-01,40597.52,24135.0,24503.719,27129.156,26746.643,36567.96,35615.41,30321.75,28043.0
m10,2023-01-01,40732.035,28869.0,24396.201,29612.496,26883.93,36567.96,35615.41,30321.75,31437.0
m10,2023-02-01,40866.555,33975.0,34190.6,33160.355,37157.543,36567.96,35615.41,30321.75,39736.0
m10,2023-03-01,41001.07,34869.0,48080.48,35142.574,48796.457,36567.96,35615.41,30321.75,47661.0
m10,2023-04-01,41135.59,40199.0,47713.203,36993.887,49626.035,36567.96,35615.41,30321.75,50590.0
m10,2023-05-01,41270.11,29526.0,33209.09,30719.543,35167.5,36567.96,35615.41,30321.75,37780.0
m10,2023-06-01,41404.625,28405.0,28529.0,28640.521,30703.564,36567.96,35615.41,30321.75,31373.0
m10,2023-07-01,41539.145,25474.0,35787.695,26793.973,38675.465,36567.96,35615.41,30321.75,32064.0
m10,2023-08-01,41673.66,29863.0,32146.215,28950.426,34878.375,36567.96,35615.41,30321.75,32145.0
m10,2023-09-01,41808.18,40207.0,35217.047,37760.785,38329.566,36567.96,35615.41,30321.75,40353.0
