unique_id,seasonal_str,trend_str
q1,With seasonality,With trend
q10,With seasonality,With trend
q100,With seasonality,With trend
q101,With seasonality,With trend
q102,With seasonality,With trend
q103,With seasonality,With trend
q104,No seasonality,With trend
q105,With seasonality,With trend
q106,With seasonality,With trend
q107,With seasonality,With trend
q108,With seasonality,With trend
q109,With seasonality,With trend
q11,With seasonality,With trend
q110,With seasonality,With trend
q111,With seasonality,With trend
q112,With seasonality,With trend
q113,With seasonality,With trend
q114,With seasonality,With trend
q115,With seasonality,With trend
q116,With seasonality,With trend
q117,With seasonality,With trend
q118,With seasonality,With trend
q119,With seasonality,With trend
q12,With seasonality,With trend
q120,With seasonality,With trend
q121,No seasonality,With trend
q122,No seasonality,With trend
q123,No seasonality,With trend
q124,No seasonality,With trend
q125,No seasonality,With trend
q126,No seasonality,With trend
q127,No seasonality,With trend
q128,No seasonality,With trend
q129,With seasonality,With trend
q13,No seasonality,With trend
q130,No seasonality,With trend
q131,No seasonality,With trend
q132,No seasonality,With trend
q133,With seasonality,With trend
q134,With seasonality,With trend
q135,No seasonality,With trend
q136,No seasonality,With trend
q137,No seasonality,With trend
q138,No seasonality,With trend
q139,No seasonality,With trend
q14,No seasonality,With trend
q140,With seasonality,With trend
q141,With seasonality,With trend
q142,With seasonality,With trend
q143,With seasonality,With trend
q144,With seasonality,With trend
q145,With seasonality,With trend
q146,With seasonality,With trend
q147,With seasonality,With trend
q148,With seasonality,With trend
q149,With seasonality,With trend
q15,No seasonality,With trend
q150,With seasonality,With trend
q151,With seasonality,With trend
q152,With seasonality,With trend
q153,With seasonality,With trend
q154,With seasonality,With trend
q155,With seasonality,With trend
q156,With seasonality,With trend
q157,With seasonality,With trend
q158,No seasonality,With trend
q159,With seasonality,With trend
q16,No seasonality,With trend
q160,With seasonality,With trend
q161,No seasonality,With trend
q162,No seasonality,With trend
q163,With seasonality,With trend
q164,With seasonality,With trend
q165,With seasonality,With trend
q166,No seasonality,No trend
q167,With seasonality,With trend
q168,With seasonality,With trend
q169,With seasonality,With trend
q17,No seasonality,With trend
q170,With seasonality,With trend
q171,With seasonality,With trend
